match_title,event_name,team_a,team_b,odds_a,odds_b,true_prob_a,true_prob_b,vig_percent,bookmaker_name,extraction_layer,scraped_at
Lavked vs EYEBALLERS,IEM Cologne Major 2026 Stage 2,Lavked,EYEBALLERS,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:06:34.708986
MANA vs Ninjas in Pyjamas,CCT 2026 Europe Series 3,MANA,Ninjas in Pyjamas,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:06:24.723016
undefined vs undefined,,,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:02:09.526078
Fire Flux vs undefined,IEM Cologne Major 2026 Stage 2,Fire Flux,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:01:59.768012
DONSTU vs undefined,IEM Cologne Major 2026 Stage 2,DONSTU,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:01:43.654442
OLDBOYS PL vs undefined,NODWIN Clutch Series 9,OLDBOYS PL,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:01:16.357311
XI vs undefined,CCT 2026 Europe Series 4 Closed Qualifier,XI,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:01:06.622216
VP.Prodigy vs undefined,NODWIN Clutch Series 9,VP.Prodigy,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:00:50.279379
Misa vs undefined,IEM Cologne Major 2026 Stage 2,Misa,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:00:40.468526
eternal premium vs undefined,IEM Cologne Major 2026 Stage 2,eternal premium,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:00:24.973792
QUAZAR vs undefined,CCT 2026 Europe Series 4 Closed Qualifier,QUAZAR,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:00:15.824433
ENRAGE vs undefined,NODWIN Clutch Series 9,ENRAGE,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:00:06.626856
100 Thieves vs undefined,European Pro League Series 7,100 Thieves,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:59:57.575549
Bushido Wildcats vs undefined,DFRAG Open Series 5,Bushido Wildcats,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:59:48.025746
Oxuji vs undefined,DFRAG Open Series 5,Oxuji,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:59:38.719363
